ObjectId,Country,2023
1,Afghanistan,Middle
2,Africa,Lower-Middle
3,Albania,Upper-Middle
4,Algeria,Upper-Middle
5,American Samoa,Low
6,Americas,Middle
7,Andorra,High
8,Angola,Lower-Middle
9,Anguilla,Lower-Middle
10,Antarctica,Very Low
11,Antigua and Barbuda,Lower-Middle
12,Argentina,Middle
13,Armenia,Upper-Middle
14,"Aruba, Kingdom of the Netherlands",
15,Asia,Middle
16,Australia,Low
17,Austria,High
18,"Azerbaijan, Rep. of",Upper-Middle
19,"Bahamas, The",Middle
20,"Bahrain, Kingdom of",Upper-Middle
21,Bangladesh,Middle
22,Barbados,
23,"Belarus, Rep. of",High
24,Belgium,Upper-Middle
25,Belize,Middle
26,Benin,Lower-Middle
27,Bhutan,Middle
28,Bolivia,Upper-Middle
29,Bosnia and Herzegovina,High
30,Botswana,Low
31,Brazil,Middle
32,British Virgin Islands,
33,Brunei Darussalam,Lower-Middle
34,Bulgaria,High
35,Burkina Faso,Middle
36,Burundi,
37,Cabo Verde,Upper-Middle
38,Cambodia,Lower-Middle
39,Cameroon,Lower-Middle
40,Canada,Upper-Middle
41,Cayman Islands,Middle
42,Central African Rep.,Lower-Middle
43,Chad,Lower-Middle
44,Chile,Low
45,Hong Kong,Lower-Middle
46,Macao,Lower-Middle
47,China,Middle
48,Colombia,Lower-Middle
49,"Comoros, Union of the",Lower-Middle
50,Democratic Republic of Congo,Lower-Middle
51,Republic of Congo,Lower-Middle
52,Cook Islands,Very Low
53,Costa Rica,
54,Côte d'Ivoire,Middle
55,"Croatia, Rep. of",High
56,Cuba,Middle
57,Cyprus,Middle
58,Czech Republic,Upper-Middle
59,Denmark,Middle
60,Djibouti,Low
61,Dominica,Lower-Middle
62,Dominican Rep.,Middle
63,Ecuador,Middle
64,Egypt,Upper-Middle
65,El Salvador,Middle
66,"Equatorial Guinea, Rep. of",Lower-Middle
67,"Eritrea, The State of",
68,Estonia,Upper-Middle
69,Eswatini,Low
70,"Ethiopia, The Federal Dem. Rep. of",Lower-Middle
71,Europe,Upper-Middle
72,Falkland Islands (Malvinas),
73,Faroe Islands,Low
74,"Fiji, Rep. of",Low
75,Finland,Middle
76,France,High
77,French Polynesia,Lower-Middle
78,Gabon,Lower-Middle
79,"Gambia, The",Middle
80,Georgia,Upper-Middle
81,Germany,Upper-Middle
82,Ghana,Middle
83,Gibraltar,High
84,Greece,Middle
85,Greenland,Lower-Middle
86,Grenada,Lower-Middle
87,Guadeloupe,Lower-Middle
88,Guatemala,Middle
89,"Guiana, French",Middle
90,Guinea,Middle
91,Guinea-Bissau,Middle
92,Guyana,Middle
93,Haiti,Middle
94,Holy See,Upper-Middle
95,Honduras,Middle
96,Hungary,High
97,Iceland,Very Low
98,India,Low
99,Indonesia,Lower-Middle
100,Iran,Upper-Middle
101,Iraq,Upper-Middle
102,Ireland,Middle
103,Isle of Man,Middle
104,Israel,Upper-Middle
105,Italy,Upper-Middle
106,Jamaica,Middle
107,Japan,Middle
108,Jordan,Upper-Middle
109,Kazakhstan,High
110,Kenya,Lower-Middle
111,Kiribati,
112,North Korea,Upper-Middle
113,South Korea,Middle
114,Kuwait,Middle
115,Kyrgyz Rep.,Middle
116,Lao People's Dem. Rep.,Lower-Middle
117,Latvia,Upper-Middle
118,Lebanon,Upper-Middle
119,Lesotho,Low
120,Liberia,Lower-Middle
121,Libya,Lower-Middle
122,Liechtenstein,High
123,Lithuania,Upper-Middle
124,Luxembourg,High
125,Madagascar,Lower-Middle
126,Malawi,Lower-Middle
127,Malaysia,Lower-Middle
128,Maldives,Low
129,Mali,Middle
130,Malta,Upper-Middle
131,"Marshall Islands, Rep. of the",Low
132,Martinique,Lower-Middle
133,"Mauritania, Islamic Rep. of",Upper-Middle
134,Mauritius,Middle
135,Mayotte,Lower-Middle
136,Mexico,Middle
137,"Micronesia, Federated States of",Low
138,Moldova,High
139,Monaco,Upper-Middle
140,Mongolia,Upper-Middle
141,Montenegro,Upper-Middle
142,Montserrat,Lower-Middle
143,Morocco,High
144,"Mozambique, Rep. of",Low
145,Myanmar,Middle
146,Namibia,Low
147,"Nauru, Rep. of",
148,Nepal,Lower-Middle
149,"Netherlands, The",Upper-Middle
150,New Caledonia,Lower-Middle
151,New Zealand,Lower-Middle
152,Nicaragua,Middle
153,Niger,Middle
154,Nigeria,Lower-Middle
155,Niue,
156,Norfolk Island,Low
157,"North Macedonia, Republic of ",Upper-Middle
158,Norway,Lower-Middle
159,Oceania,Low
160,Oman,Lower-Middle
161,Pakistan,Lower-Middle
162,"Palau, Rep. of",Middle
163,Panama,Lower-Middle
164,Papua New Guinea,Low
165,Paraguay,Upper-Middle
166,Peru,Middle
167,Philippines,Middle
168,Pitcairn Islands,
169,Poland,Upper-Middle
170,Portugal,High
171,Puerto Rico,Lower-Middle
172,Qatar,Upper-Middle
173,Réunion,Middle
174,Romania,High
175,Russian Federation,High
176,Rwanda,
177,Saint Helena,Middle
178,Saint Pierre and Miquelon,Lower-Middle
179,Samoa,Low
180,"San Marino, Rep. of",Upper-Middle
181,"São Tomé and Príncipe, Dem. Rep. of",Lower-Middle
182,Saudi Arabia,Middle
183,Senegal,Upper-Middle
184,Serbia,High
185,Seychelles,Low
186,Sierra Leone,Lower-Middle
187,Singapore,Middle
188,Slovakia,Upper-Middle
189,Slovenia,High
190,Solomon Islands,Low
191,Somalia,Lower-Middle
192,South Africa,Lower-Middle
193,"South Sudan, Rep. of",Lower-Middle
194,Spain,High
195,Sri Lanka,Lower-Middle
196,St. Kitts and Nevis,Lower-Middle
197,St. Lucia,Lower-Middle
198,St. Vincent and the Grenadines,Lower-Middle
199,Sudan,Middle
200,Suriname,Middle
201,Svalbard Jan Mayen Islands,
202,Sweden,Lower-Middle
203,Switzerland,High
204,Syrian Arab Rep.,Upper-Middle
205,Taiwan Province of China,Lower-Middle
206,"Tajikistan, Rep. of",Middle
207,"Tanzania, United Rep. of",Lower-Middle
208,Thailand,Lower-Middle
209,"Timor-Leste, Dem. Rep. of",Very Low
210,Togo,Lower-Middle
211,Tokelau,
212,Tonga,Low
213,Trinidad and Tobago,Lower-Middle
214,Tunisia,Upper-Middle
215,Turkey,Upper-Middle
216,Turkmenistan,Upper-Middle
217,Turks and Caicos Islands,
218,Tuvalu,Lower-Middle
219,Uganda,Lower-Middle
220,Ukraine,High
221,United Arab Emirates,Middle
222,United Kingdom,Lower-Middle
223,United States,Lower-Middle
224,United States Virgin Islands,Lower-Middle
225,Uruguay,Middle
231,Uzbekistan,Upper-Middle
232,Vanuatu,Low
233,Venezuela,Lower-Middle
234,Vietnam,Lower-Middle
235,Wallis and Futuna Islands,Low
236,West Bank and Gaza,Upper-Middle
237,Western Sahara,Upper-Middle
238,World,Middle
239,"Yemen, Rep. of",
240,Zambia,Lower-Middle
241,Zimbabwe,Low
